title,authors,year,amount,thumbnail
"Effective Java","Joshua Bloch","2008","107.28","http://books.google.com/books/content?id=ka2VUBqHiWkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Java Puzzlers","Joshua Bloch,Neal Gafter","2005","80.10","http://books.google.com/books/content?id=RM9sLE0ntQ0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Java Concurrency in Practice","Tim Peierls,Brian Goetz,Joshua Bloch,Joseph Bowbeer,Doug Lea,David Holmes","2006","116.04","http://books.google.com/books/content?id=EK43StEVfJIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Clean Code","Robert C. Martin","2008","96.37","http://books.google.com/books/content?id=_i6bDeoCQzsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Clean Architecture","Robert C. Martin","2018","129.50","http://books.google.com/books/content?id=8ngAkAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Test-driven Development","Kent Beck","2003","78.95","http://books.google.com/books/content?id=CUlsAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"The Pragmatic Programmer","Andrew Hunt,David Thomas","1999","96.37","http://books.google.com/books/content?id=5wBQEp6ruIAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"The Clean Coder","Robert C. Martin","2011","87.56","http://books.google.com/books/content?id=ik0qCTVzl44C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Refactoring","Martin Fowler,Kent Beck","1999","65.62","http://books.google.com/books/content?id=UTgFCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Domain-driven Design","Eric Evans","2004","127.31","http://books.google.com/books/content?id=xColAAPGubgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Implementing Domain-Driven Design","Vaughn Vernon","2013","127.01","http://books.google.com/books/content?id=X7DpD5g3VP8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Refactoring to Patterns","Joshua Kerievsky","2004","135.77","http://books.google.com/books/content?id=Oxm8R1dY3RwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Design Patterns","Erich Gamma,Richard Helm,Ralph Johnson,John Vlissides","1994","116.04","http://books.google.com/books/content?id=6oHuKQe3TjQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Working Effectively with Legacy Code","Michael Feathers","2004","127.01","http://books.google.com/books/content?id=fB6s_Z6g0gIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Designing Data-Intensive Applications","Martin Kleppmann","2017","68.65","http://books.google.com/books/content?id=zFheDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Functional Programming in Java","Venkat Subramaniam","2014","51.00","http://books.google.com/books/content?id=_g5QDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Code Complete","Steve McConnell,Steve M. McConnell,Steven C. McConnell,Microsoft,","1993","140.34","http://books.google.com/books/content?id=lohA2aY9gu0C&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Growing Object-Oriented Software, Guided by Tests","Steve Freeman,Nat Pryce","2009","116.04","http://books.google.com/books/content?id=QJA3dM8Uix0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Release It!","Michael T. Nygard","2018","72.13","http://books.google.com/books/content?id=Ug9QDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Microservices Patterns","Chris Richardson","2018","53.26","http://books.google.com/books/content?id=UeK1swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Building Microservices","Sam Newman","2015","81.73","http://books.google.com/books/content?id=jjl4BgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Building Evolutionary Architectures","Neal Ford,Rebecca Parsons,Patrick Kua","2017","69.10","http://books.google.com/books/content?id=pYI2DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Site Reliability Engineering","Betsy Beyer,Chris Jones,Jennifer Petoff,Niall Richard Murphy","2016","124.87","http://books.google.com/books/content?id=_4rPCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"The Manager's Path","Camille Fournier","2017","126.94","http://books.google.com/books/content?id=zqNaDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Thinking in Java","Bruce Eckel","2003","73.44","http://books.google.com/books/content?id=Ql6QgWf6i7cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Introduction To Algorithms","Thomas H.. Cormen,Thomas H Cormen,Charles E Leiserson,Ronald L Rivest,Clifford Stein","2001","116.52","http://books.google.com/books/content?id=NLngYyWFl_YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Cracking the Coding Interview","Gayle Laakmann McDowell","2011","130.29","http://books.google.com/books/content?id=anhAXwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"JavaScript: The Good Parts","Douglas Crockford","2008","41.86","http://books.google.com/books/content?id=PXa2bby0oQ0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Kubernetes - A Complete DevOps Cookbook","Murat Karslioglu","2020","112.99","http://books.google.com/books/content?id=DeTWDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
